age,sex,race,degree,health,happy,marital,martype,agewed,hrs2,indus10,agekdbrn,childs,class,income16
39.0,female,white,graduate,,very happy,married,,,,"Production, Transportation, and Material Moving Occupations",36.0,1.0,middle class,
45.0,male,white,high school,excellent,,married,,24.0,,"Natural Resources, Construction, and Maintenance Occupations",,2.0,,
57.0,female,white,high school,excellent,,married,,20.0,,"Natural Resources, Construction, and Maintenance Occupations",,2.0,,
63.0,female,white,graduate,good,,married,,21.0,,"Production, Transportation, and Material Moving Occupations",,1.0,,
66.0,female,white,high school,,very happy,divorced,,,,"Production, Transportation, and Material Moving Occupations",26.0,3.0,middle class,
78.0,female,white,less than high school,excellent,,widowed,,28.0,,"Management, Business, Science, and Arts Occupations",,0.0,,
28.0,male,white,associate/junior college,good,pretty happy,married,,,,"Management, Business, Science, and Arts Occupations",25.0,1.0,working class,
50.0,male,white,high school,,pretty happy,never married,,,,"Management, Business, Science, and Arts Occupations",,0.0,working class,
55.0,female,white,less than high school,fair,,divorced,,20.0,,Sales and Office Occupations,,4.0,,
27.0,male,other,bachelor's,excellent,,never married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,,
81.0,male,white,graduate,,very happy,married,,,,"Production, Transportation, and Material Moving Occupations",22.0,8.0,upper class,
61.0,female,white,bachelor's,excellent,,married,,20.0,,"Production, Transportation, and Material Moving Occupations",,3.0,,
77.0,male,white,high school,fair,very happy,married,,,,"Management, Business, Science, and Arts Occupations",22.0,7.0,middle class,
85.0,male,white,high school,fair,,married,,35.0,,"Management, Business, Science, and Arts Occupations",,1.0,,
39.0,male,white,high school,good,pretty happy,divorced,,,,Service Occupations,17.0,3.0,working class,
30.0,female,white,high school,good,,divorced,,19.0,,"Production, Transportation, and Material Moving Occupations",,3.0,,
36.0,female,white,bachelor's,good,,never married,,,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,,
50.0,male,white,bachelor's,,,never married,,,,Service Occupations,29.0,1.0,lower class,
22.0,male,white,high school,excellent,,divorced,,18.0,,"Production, Transportation, and Material Moving Occupations",,2.0,,
78.0,female,white,less than high school,,very happy,married,,,,Sales and Office Occupations,19.0,5.0,working class,
84.0,male,white,high school,good,not too happy,widowed,,,,"Natural Resources, Construction, and Maintenance Occupations",25.0,3.0,middle class,
78.0,male,white,high school,good,,married,,26.0,,"Management, Business, Science, and Arts Occupations",,4.0,,
25.0,female,white,high school,,very happy,married,,,,"Production, Transportation, and Material Moving Occupations",21.0,2.0,middle class,
50.0,male,white,bachelor's,excellent,pretty happy,never married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,working class,
20.0,female,white,high school,excellent,pretty happy,never married,,,,,,0.0,working class,
34.0,male,other,less than high school,,pretty happy,never married,,,,"Management, Business, Science, and Arts Occupations",,0.0,middle class,
46.0,male,white,high school,,pretty happy,never married,,,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,working class,
72.0,female,white,less than high school,,very happy,divorced,,,,Service Occupations,,0.0,working class,
,female,white,high school,fair,,married,,18.0,,"Production, Transportation, and Material Moving Occupations",,5.0,,
69.0,female,white,high school,fair,,married,,19.0,,"Production, Transportation, and Material Moving Occupations",,3.0,,
24.0,female,other,less than high school,,not too happy,never married,,,,"Production, Transportation, and Material Moving Occupations",18.0,2.0,working class,
38.0,female,black,associate/junior college,fair,pretty happy,not married,,,,"Production, Transportation, and Material Moving Occupations",20.0,2.0,middle class,
65.0,male,white,graduate,good,,divorced,,26.0,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,,
73.0,female,white,less than high school,good,very happy,widowed,,,,Sales and Office Occupations,16.0,6.0,working class,
54.0,male,white,graduate,excellent,,never married,,,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,,
50.0,male,black,high school,excellent,,married,,26.0,,"Management, Business, Science, and Arts Occupations",,5.0,,
42.0,female,white,high school,good,very happy,married,,,,"Natural Resources, Construction, and Maintenance Occupations",35.0,2.0,working class,
69.0,male,white,bachelor's,,very happy,divorced,,,,"Production, Transportation, and Material Moving Occupations",30.0,2.0,upper class,
26.0,female,other,less than high school,,pretty happy,never married,,,,,23.0,2.0,working class,
66.0,female,white,bachelor's,excellent,very happy,divorced,,,,"Production, Transportation, and Material Moving Occupations",,0.0,middle class,
31.0,female,white,bachelor's,good,pretty happy,married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,working class,
30.0,male,black,high school,good,pretty happy,never married,,,,"Management, Business, Science, and Arts Occupations",,0.0,working class,
58.0,female,white,high school,good,,divorced,,19.0,,"Production, Transportation, and Material Moving Occupations",,2.0,,
41.0,male,white,less than high school,,pretty happy,never married,,,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,working class,
43.0,male,white,high school,good,very happy,never married,,,,"Management, Business, Science, and Arts Occupations",,0.0,working class,
53.0,male,white,less than high school,excellent,,married,,18.0,,"Management, Business, Science, and Arts Occupations",,3.0,,
31.0,male,other,less than high school,fair,pretty happy,never married,,,,"Management, Business, Science, and Arts Occupations",,0.0,working class,
51.0,female,white,associate/junior college,excellent,pretty happy,married,,,,"Production, Transportation, and Material Moving Occupations",21.0,2.0,middle class,
51.0,female,white,high school,,pretty happy,married,,,,"Production, Transportation, and Material Moving Occupations",25.0,2.0,upper class,
28.0,male,black,less than high school,,pretty happy,married,,,,"Management, Business, Science, and Arts Occupations",22.0,2.0,working class,
55.0,male,white,bachelor's,,pretty happy,married,,,,"Production, Transportation, and Material Moving Occupations",26.0,2.0,middle class,
54.0,male,white,graduate,good,not too happy,divorced,,,,"Production, Transportation, and Material Moving Occupations",25.0,2.0,middle class,
23.0,male,other,high school,excellent,pretty happy,divorced,,,,"Management, Business, Science, and Arts Occupations",23.0,1.0,working class,
48.0,male,other,high school,fair,,never married,,,,,,0.0,,
67.0,female,white,bachelor's,,very happy,widowed,,,,"Production, Transportation, and Material Moving Occupations",19.0,3.0,working class,
43.0,male,white,high school,fair,not too happy,never married,,,,Service Occupations,,0.0,lower class,
64.0,female,white,associate/junior college,,pretty happy,never married,,,,Sales and Office Occupations,,0.0,middle class,
36.0,female,white,high school,good,not too happy,divorced,,,,"Production, Transportation, and Material Moving Occupations",20.0,3.0,working class,
27.0,female,other,less than high school,good,pretty happy,married,,,,Sales and Office Occupations,,0.0,working class,
63.0,female,black,high school,fair,,married,,20.0,,"Management, Business, Science, and Arts Occupations",,2.0,,
75.0,male,white,high school,good,very happy,married,,,,"Production, Transportation, and Material Moving Occupations",30.0,2.0,working class,
27.0,female,white,high school,good,pretty happy,married,,,,,20.0,2.0,middle class,
67.0,male,white,bachelor's,,pretty happy,married,,,,"Management, Business, Science, and Arts Occupations",23.0,4.0,working class,
24.0,male,white,high school,excellent,,never married,,,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,,
75.0,male,white,high school,poor,pretty happy,widowed,,,,"Production, Transportation, and Material Moving Occupations",26.0,8.0,working class,
31.0,male,white,bachelor's,excellent,pretty happy,married,,,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,middle class,
22.0,female,white,high school,,pretty happy,never married,,,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,working class,
64.0,female,white,less than high school,,not too happy,divorced,,,,"Management, Business, Science, and Arts Occupations",18.0,7.0,lower class,
48.0,female,white,high school,good,,divorced,,20.0,,"Natural Resources, Construction, and Maintenance Occupations",,3.0,,
28.0,female,black,high school,excellent,,married,,21.0,,"Production, Transportation, and Material Moving Occupations",,2.0,,
65.0,female,white,high school,excellent,very happy,married,,,,"Natural Resources, Construction, and Maintenance Occupations",21.0,4.0,middle class,
39.0,male,white,associate/junior college,,pretty happy,never married,,,,Sales and Office Occupations,,0.0,working class,
19.0,female,white,high school,,pretty happy,never married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,middle class,
47.0,male,white,bachelor's,excellent,,married,,26.0,,"Production, Transportation, and Material Moving Occupations",,3.0,,
27.0,female,white,high school,good,,never married,,,,Service Occupations,,1.0,,
47.0,female,white,high school,fair,not too happy,married,,,,"Production, Transportation, and Material Moving Occupations",21.0,2.0,working class,
64.0,female,white,high school,good,,married,,18.0,,"Management, Business, Science, and Arts Occupations",,1.0,,
51.0,male,white,associate/junior college,excellent,pretty happy,married,,,,"Management, Business, Science, and Arts Occupations",26.0,1.0,working class,
29.0,female,white,bachelor's,excellent,very happy,married,,,,"Management, Business, Science, and Arts Occupations",27.0,1.0,working class,
43.0,female,white,bachelor's,excellent,very happy,married,,,,"Production, Transportation, and Material Moving Occupations",25.0,2.0,working class,
19.0,male,white,high school,excellent,very happy,never married,,,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,working class,
28.0,female,white,associate/junior college,excellent,very happy,married,,,,"Production, Transportation, and Material Moving Occupations",25.0,2.0,working class,
49.0,female,white,high school,excellent,,married,,19.0,,"Natural Resources, Construction, and Maintenance Occupations",,2.0,,
42.0,female,white,high school,fair,,divorced,,22.0,,"Management, Business, Science, and Arts Occupations",,2.0,,
48.0,female,white,high school,excellent,pretty happy,married,,,,Sales and Office Occupations,15.0,3.0,working class,
65.0,female,white,less than high school,poor,pretty happy,married,,,,"Production, Transportation, and Material Moving Occupations",21.0,4.0,middle class,
24.0,female,white,high school,good,very happy,married,,,,"Production, Transportation, and Material Moving Occupations",21.0,1.0,working class,
21.0,male,other,high school,good,,divorced,,17.0,,"Management, Business, Science, and Arts Occupations",,2.0,,
46.0,female,white,graduate,excellent,very happy,married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,middle class,
28.0,male,white,associate/junior college,good,,married,,20.0,,"Management, Business, Science, and Arts Occupations",,0.0,,
27.0,male,white,high school,good,pretty happy,married,,,,Sales and Office Occupations,21.0,1.0,working class,
33.0,male,white,high school,good,,married,,18.0,,"Natural Resources, Construction, and Maintenance Occupations",,4.0,,
58.0,male,white,associate/junior college,excellent,very happy,married,,,,"Natural Resources, Construction, and Maintenance Occupations",30.0,7.0,middle class,
44.0,male,white,high school,fair,very happy,married,,,,"Production, Transportation, and Material Moving Occupations",21.0,2.0,middle class,
47.0,female,white,associate/junior college,good,pretty happy,never married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,middle class,
57.0,female,white,high school,excellent,pretty happy,never married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,working class,
40.0,female,white,graduate,,pretty happy,divorced,,,,"Production, Transportation, and Material Moving Occupations",35.0,2.0,middle class,
57.0,male,white,high school,fair,pretty happy,married,,,,"Natural Resources, Construction, and Maintenance Occupations",18.0,4.0,middle class,
72.0,male,white,graduate,excellent,very happy,widowed,,,,Sales and Office Occupations,24.0,5.0,upper class,
52.0,female,white,high school,,not too happy,married,,,,"Production, Transportation, and Material Moving Occupations",20.0,2.0,middle class,
33.0,female,white,associate/junior college,fair,very happy,married,,,,"Natural Resources, Construction, and Maintenance Occupations",16.0,2.0,middle class,
41.0,female,white,high school,excellent,pretty happy,married,,,,Service Occupations,19.0,3.0,working class,
35.0,male,white,high school,,pretty happy,married,,,,"Management, Business, Science, and Arts Occupations",24.0,1.0,working class,
58.0,male,white,high school,good,,married,,18.0,,"Management, Business, Science, and Arts Occupations",,6.0,,
58.0,male,white,high school,good,,married,,21.0,,"Management, Business, Science, and Arts Occupations",,3.0,,
42.0,male,white,high school,excellent,pretty happy,married,,,,"Management, Business, Science, and Arts Occupations",21.0,3.0,middle class,
52.0,female,white,bachelor's,excellent,,married,,20.0,,"Production, Transportation, and Material Moving Occupations",,3.0,,
57.0,male,white,graduate,good,pretty happy,married,,,,"Management, Business, Science, and Arts Occupations",,0.0,middle class,
48.0,male,white,high school,,pretty happy,married,,,,Sales and Office Occupations,28.0,2.0,middle class,
79.0,female,white,high school,good,,widowed,,22.0,,Sales and Office Occupations,,7.0,,
37.0,male,white,graduate,excellent,,married,,22.0,,"Production, Transportation, and Material Moving Occupations",,2.0,,
38.0,female,white,high school,excellent,very happy,married,,,,"Production, Transportation, and Material Moving Occupations",26.0,2.0,working class,
23.0,female,white,high school,good,,never married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,,
37.0,female,white,associate/junior college,,pretty happy,divorced,,,,"Natural Resources, Construction, and Maintenance Occupations",21.0,2.0,middle class,
79.0,male,white,bachelor's,good,very happy,married,,,,"Management, Business, Science, and Arts Occupations",25.0,3.0,middle class,
76.0,male,white,bachelor's,excellent,,married,,22.0,,Service Occupations,,2.0,,
48.0,male,white,high school,excellent,very happy,married,,,,"Natural Resources, Construction, and Maintenance Occupations",23.0,2.0,middle class,
52.0,female,white,graduate,excellent,pretty happy,divorced,,,,"Production, Transportation, and Material Moving Occupations",29.0,2.0,middle class,
62.0,male,white,graduate,excellent,,married,,25.0,,"Production, Transportation, and Material Moving Occupations",,4.0,,
75.0,male,white,graduate,excellent,not too happy,widowed,,,,"Natural Resources, Construction, and Maintenance Occupations",27.0,2.0,middle class,
58.0,male,white,high school,,pretty happy,married,,,,Sales and Office Occupations,47.0,2.0,middle class,
46.0,female,white,graduate,,very happy,married,,,,"Production, Transportation, and Material Moving Occupations",23.0,2.0,working class,
72.0,male,white,less than high school,good,pretty happy,widowed,,,,"Management, Business, Science, and Arts Occupations",22.0,2.0,working class,
