age,sex,race,degree,health,happy,marital,martype,agewed,hrs2,indus10,agekdbrn,childs,class,income16,dateintv
79.0,male,white,high school,excellent,very happy,married,,,,"Management, Business, Science, and Arts Occupations",28.0,5.0,middle class,unemployed/zero income,412.0
58.0,female,white,graduate,good,pretty happy,married,,,,"Production, Transportation, and Material Moving Occupations",29.0,2.0,middle class,unemployed/zero income,327.0
36.0,female,white,bachelor's,good,,never married,,,,"Management, Business, Science, and Arts Occupations",,0.0,,unemployed/zero income,608.0
35.0,female,white,high school,,very happy,widowed,,,,"Production, Transportation, and Material Moving Occupations",,0.0,working class,unemployed/zero income,418.0
51.0,female,white,high school,excellent,pretty happy,not married,,,,"Production, Transportation, and Material Moving Occupations",16.0,2.0,working class,unemployed/zero income,627.0
56.0,male,white,bachelor's,fair,,married,,27.0,,"Production, Transportation, and Material Moving Occupations",,2.0,,unemployed/zero income,626.0
43.0,male,white,high school,excellent,,married,,21.0,,"Natural Resources, Construction, and Maintenance Occupations",,2.0,,unemployed/zero income,714.0
40.0,female,white,high school,good,,married,,19.0,,"Production, Transportation, and Material Moving Occupations",,2.0,,unemployed/zero income,413.0
82.0,female,white,high school,good,pretty happy,widowed,,,,"Management, Business, Science, and Arts Occupations",34.0,1.0,middle class,unemployed/zero income,314.0
41.0,female,white,associate/junior college,good,,never married,,,,Sales and Office Occupations,,0.0,,unemployed/zero income,624.0
73.0,female,white,high school,good,,divorced,,23.0,,"Natural Resources, Construction, and Maintenance Occupations",,4.0,,unemployed/zero income,315.0
42.0,female,white,high school,good,,never married,,,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,,unemployed/zero income,407.0
77.0,female,white,high school,good,pretty happy,married,,,,Sales and Office Occupations,21.0,4.0,middle class,unemployed/zero income,516.0
85.0,male,white,high school,,very happy,widowed,,,,"Production, Transportation, and Material Moving Occupations",24.0,1.0,middle class,unemployed/zero income,617.0
23.0,male,white,associate/junior college,good,pretty happy,never married,,,,Sales and Office Occupations,,0.0,working class,unemployed/zero income,617.0
62.0,female,white,graduate,excellent,,married,,24.0,,"Production, Transportation, and Material Moving Occupations",,2.0,,unemployed/zero income,308.0
78.0,female,white,associate/junior college,,very happy,widowed,,,,"Production, Transportation, and Material Moving Occupations",25.0,4.0,middle class,unemployed/zero income,427.0
21.0,female,white,high school,,very happy,never married,,,,Sales and Office Occupations,,0.0,middle class,unemployed/zero income,307.0
51.0,male,white,high school,good,,married,,21.0,,"Management, Business, Science, and Arts Occupations",,2.0,,unemployed/zero income,403.0
36.0,female,white,bachelor's,excellent,pretty happy,married,,,,"Production, Transportation, and Material Moving Occupations",30.0,3.0,middle class,unemployed/zero income,325.0
35.0,female,white,high school,,not too happy,never married,,,,"Management, Business, Science, and Arts Occupations",20.0,2.0,lower class,unemployed/zero income,701.0
34.0,female,white,bachelor's,good,very happy,married,,,,Sales and Office Occupations,,0.0,working class,unemployed/zero income,308.0
46.0,female,white,graduate,excellent,,married,,30.0,,"Natural Resources, Construction, and Maintenance Occupations",,1.0,,unemployed/zero income,405.0
68.0,male,white,less than high school,fair,,married,,20.0,,,,6.0,,unemployed/zero income,621.0
27.0,female,white,high school,fair,,never married,,,,Sales and Office Occupations,,0.0,,unemployed/zero income,313.0
27.0,female,black,high school,good,pretty happy,never married,,,,"Production, Transportation, and Material Moving Occupations",20.0,2.0,middle class,unemployed/zero income,725.0
79.0,male,white,high school,fair,not too happy,divorced,,,,"Management, Business, Science, and Arts Occupations",42.0,2.0,working class,unemployed/zero income,313.0
64.0,female,white,high school,,very happy,married,,,,"Natural Resources, Construction, and Maintenance Occupations",22.0,3.0,middle class,unemployed/zero income,624.0
22.0,male,white,high school,excellent,,never married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,,unemployed/zero income,315.0
39.0,female,white,high school,good,very happy,divorced,,,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,middle class,unemployed/zero income,313.0
44.0,male,white,associate/junior college,fair,pretty happy,married,,,,"Production, Transportation, and Material Moving Occupations",29.0,1.0,middle class,unemployed/zero income,731.0
52.0,male,white,bachelor's,,pretty happy,married,,,,"Natural Resources, Construction, and Maintenance Occupations",36.0,2.0,middle class,unemployed/zero income,316.0
25.0,female,white,bachelor's,,pretty happy,never married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,middle class,unemployed/zero income,627.0
25.0,female,white,graduate,,pretty happy,never married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,middle class,unemployed/zero income,322.0
33.0,female,black,high school,,pretty happy,never married,,,,Service Occupations,26.0,1.0,working class,unemployed/zero income,408.0
42.0,male,other,high school,fair,not too happy,married,,,,"Management, Business, Science, and Arts Occupations",18.0,4.0,middle class,unemployed/zero income,325.0
52.0,female,black,high school,,pretty happy,married,,,,"Production, Transportation, and Material Moving Occupations",21.0,7.0,middle class,unemployed/zero income,316.0
75.0,female,white,associate/junior college,good,,widowed,,25.0,,"Management, Business, Science, and Arts Occupations",,2.0,,unemployed/zero income,322.0
32.0,female,white,high school,,pretty happy,widowed,,,,"Production, Transportation, and Material Moving Occupations",20.0,3.0,middle class,unemployed/zero income,330.0
80.0,female,white,high school,good,not too happy,married,,,,"Management, Business, Science, and Arts Occupations",18.0,2.0,middle class,unemployed/zero income,410.0
25.0,male,white,high school,excellent,,never married,,,,Sales and Office Occupations,,0.0,,unemployed/zero income,411.0
24.0,female,white,high school,excellent,,never married,,,,Sales and Office Occupations,,1.0,,unemployed/zero income,310.0
49.0,male,white,bachelor's,,pretty happy,not married,,,,Sales and Office Occupations,40.0,1.0,working class,unemployed/zero income,404.0
35.0,male,white,associate/junior college,good,not too happy,married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,working class,unemployed/zero income,430.0
43.0,female,white,associate/junior college,,pretty happy,married,,,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,working class,unemployed/zero income,622.0
42.0,female,white,bachelor's,excellent,pretty happy,married,,,,"Management, Business, Science, and Arts Occupations",26.0,2.0,middle class,unemployed/zero income,506.0
36.0,female,white,graduate,good,,married,,21.0,,Service Occupations,,3.0,,unemployed/zero income,615.0
35.0,male,white,high school,excellent,,married,,22.0,,"Management, Business, Science, and Arts Occupations",,3.0,,unemployed/zero income,316.0
76.0,female,white,associate/junior college,,pretty happy,widowed,,,,Sales and Office Occupations,26.0,3.0,middle class,unemployed/zero income,619.0
32.0,male,white,bachelor's,good,,never married,,,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,,unemployed/zero income,621.0
52.0,male,white,high school,,not too happy,divorced,,,,"Management, Business, Science, and Arts Occupations",,0.0,middle class,unemployed/zero income,418.0
60.0,female,white,high school,poor,pretty happy,divorced,,,,Sales and Office Occupations,20.0,1.0,working class,unemployed/zero income,728.0
44.0,female,black,associate/junior college,fair,,not married,,22.0,,"Production, Transportation, and Material Moving Occupations",,2.0,,unemployed/zero income,320.0
43.0,female,white,high school,excellent,pretty happy,not married,,,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,working class,unemployed/zero income,509.0
74.0,female,white,high school,,pretty happy,widowed,,,,Sales and Office Occupations,22.0,2.0,working class,unemployed/zero income,410.0
49.0,female,white,graduate,excellent,very happy,never married,,,,"Management, Business, Science, and Arts Occupations",,0.0,working class,unemployed/zero income,426.0
62.0,male,white,bachelor's,fair,pretty happy,married,,,,"Production, Transportation, and Material Moving Occupations",35.0,1.0,middle class,unemployed/zero income,519.0
28.0,male,white,associate/junior college,,not too happy,never married,,,,Sales and Office Occupations,,0.0,middle class,unemployed/zero income,508.0
79.0,female,white,high school,,pretty happy,widowed,,,,,21.0,4.0,middle class,unemployed/zero income,609.0
42.0,male,white,high school,,pretty happy,never married,,,,"Management, Business, Science, and Arts Occupations",,0.0,working class,unemployed/zero income,325.0
34.0,female,black,high school,excellent,pretty happy,married,,,,"Production, Transportation, and Material Moving Occupations",17.0,3.0,working class,unemployed/zero income,713.0
69.0,male,black,high school,fair,pretty happy,married,,,,"Natural Resources, Construction, and Maintenance Occupations",19.0,6.0,working class,unemployed/zero income,411.0
22.0,female,white,high school,,pretty happy,never married,,,,"Natural Resources, Construction, and Maintenance Occupations",19.0,1.0,working class,unemployed/zero income,404.0
82.0,male,white,less than high school,good,,widowed,,18.0,,"Production, Transportation, and Material Moving Occupations",,8.0,,unemployed/zero income,509.0
32.0,male,white,high school,,pretty happy,never married,,,,"Production, Transportation, and Material Moving Occupations",24.0,1.0,working class,unemployed/zero income,314.0
47.0,female,white,high school,good,,not married,,21.0,,Sales and Office Occupations,,2.0,,unemployed/zero income,424.0
30.0,male,black,high school,good,,never married,,,,"Production, Transportation, and Material Moving Occupations",,2.0,,unemployed/zero income,521.0
63.0,male,white,high school,good,pretty happy,married,,,,"Management, Business, Science, and Arts Occupations",21.0,4.0,middle class,unemployed/zero income,419.0
20.0,male,white,high school,fair,,never married,,,,,,0.0,,unemployed/zero income,309.0
55.0,female,white,high school,excellent,very happy,divorced,,,,"Management, Business, Science, and Arts Occupations",24.0,2.0,working class,unemployed/zero income,313.0
33.0,female,white,high school,excellent,,married,,19.0,,Sales and Office Occupations,,2.0,,unemployed/zero income,609.0
72.0,male,white,high school,good,,married,,32.0,,"Natural Resources, Construction, and Maintenance Occupations",,1.0,,unemployed/zero income,405.0
41.0,female,white,bachelor's,good,,married,,24.0,,"Production, Transportation, and Material Moving Occupations",,2.0,,unemployed/zero income,410.0
60.0,male,white,bachelor's,,pretty happy,divorced,,,,"Natural Resources, Construction, and Maintenance Occupations",19.0,4.0,working class,unemployed/zero income,714.0
53.0,male,white,high school,good,,divorced,,21.0,,Sales and Office Occupations,,4.0,,unemployed/zero income,518.0
27.0,male,white,high school,good,pretty happy,never married,,,,"Natural Resources, Construction, and Maintenance Occupations",24.0,1.0,working class,unemployed/zero income,418.0
69.0,female,white,high school,good,pretty happy,married,,,,"Natural Resources, Construction, and Maintenance Occupations",22.0,2.0,middle class,unemployed/zero income,410.0
80.0,female,white,high school,fair,not too happy,widowed,,,,"Natural Resources, Construction, and Maintenance Occupations",24.0,3.0,middle class,unemployed/zero income,608.0
77.0,female,white,graduate,good,,widowed,,22.0,,"Production, Transportation, and Material Moving Occupations",,6.0,,unemployed/zero income,318.0
85.0,female,white,less than high school,good,pretty happy,widowed,,,,"Management, Business, Science, and Arts Occupations",,0.0,middle class,unemployed/zero income,317.0
77.0,female,black,associate/junior college,fair,pretty happy,widowed,,,,"Production, Transportation, and Material Moving Occupations",22.0,2.0,working class,unemployed/zero income,323.0
50.0,male,white,high school,good,,divorced,,17.0,,Service Occupations,,2.0,,unemployed/zero income,410.0
24.0,male,white,bachelor's,good,very happy,married,,,,Sales and Office Occupations,,0.0,middle class,unemployed/zero income,618.0
18.0,female,white,less than high school,,pretty happy,never married,,,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,middle class,unemployed/zero income,414.0
31.0,female,white,high school,good,,never married,,,,Sales and Office Occupations,,1.0,,unemployed/zero income,801.0
81.0,female,white,less than high school,fair,,widowed,,16.0,,"Production, Transportation, and Material Moving Occupations",,8.0,,unemployed/zero income,519.0
86.0,female,white,high school,,pretty happy,widowed,,,,"Production, Transportation, and Material Moving Occupations",26.0,1.0,middle class,unemployed/zero income,404.0
41.0,female,white,high school,good,not too happy,married,,,,"Natural Resources, Construction, and Maintenance Occupations",26.0,3.0,working class,unemployed/zero income,725.0
78.0,female,white,high school,fair,very happy,widowed,,,,"Production, Transportation, and Material Moving Occupations",23.0,1.0,middle class,unemployed/zero income,413.0
67.0,male,white,high school,good,,widowed,,25.0,,"Natural Resources, Construction, and Maintenance Occupations",,2.0,,unemployed/zero income,313.0
56.0,female,white,associate/junior college,good,,married,,31.0,,"Production, Transportation, and Material Moving Occupations",,2.0,,unemployed/zero income,405.0
60.0,male,white,bachelor's,,pretty happy,married,,,50.0,Service Occupations,21.0,1.0,middle class,unemployed/zero income,710.0
75.0,male,white,less than high school,excellent,very happy,widowed,,,,"Management, Business, Science, and Arts Occupations",20.0,5.0,middle class,unemployed/zero income,407.0
45.0,male,white,high school,good,,married,,34.0,,Service Occupations,,0.0,,unemployed/zero income,330.0
67.0,female,white,high school,good,very happy,married,,,,"Production, Transportation, and Material Moving Occupations",21.0,3.0,middle class,unemployed/zero income,411.0
70.0,male,white,high school,fair,,married,,26.0,,"Natural Resources, Construction, and Maintenance Occupations",,2.0,,unemployed/zero income,403.0
62.0,female,white,high school,,very happy,married,,,,Sales and Office Occupations,21.0,1.0,middle class,unemployed/zero income,508.0
84.0,male,white,less than high school,fair,pretty happy,married,,,,"Management, Business, Science, and Arts Occupations",29.0,2.0,working class,unemployed/zero income,314.0
39.0,female,white,graduate,,very happy,married,,,,"Production, Transportation, and Material Moving Occupations",36.0,1.0,middle class,unemployed/zero income,718.0
45.0,male,white,high school,excellent,,married,,24.0,,"Natural Resources, Construction, and Maintenance Occupations",,2.0,,unemployed/zero income,324.0
57.0,female,white,high school,excellent,,married,,20.0,,"Natural Resources, Construction, and Maintenance Occupations",,2.0,,unemployed/zero income,409.0
63.0,female,white,graduate,good,,married,,21.0,,"Production, Transportation, and Material Moving Occupations",,1.0,,unemployed/zero income,313.0
66.0,female,white,high school,,very happy,divorced,,,,"Production, Transportation, and Material Moving Occupations",26.0,3.0,middle class,unemployed/zero income,408.0
78.0,female,white,less than high school,excellent,,widowed,,28.0,,"Management, Business, Science, and Arts Occupations",,0.0,,unemployed/zero income,408.0
28.0,male,white,associate/junior college,good,pretty happy,married,,,,"Management, Business, Science, and Arts Occupations",25.0,1.0,working class,unemployed/zero income,617.0
50.0,male,white,high school,,pretty happy,never married,,,,"Management, Business, Science, and Arts Occupations",,0.0,working class,unemployed/zero income,401.0
55.0,female,white,less than high school,fair,,divorced,,20.0,,Sales and Office Occupations,,4.0,,unemployed/zero income,630.0
27.0,male,other,bachelor's,excellent,,never married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,,unemployed/zero income,520.0
81.0,male,white,graduate,,very happy,married,,,,"Production, Transportation, and Material Moving Occupations",22.0,8.0,upper class,unemployed/zero income,429.0
61.0,female,white,bachelor's,excellent,,married,,20.0,,"Production, Transportation, and Material Moving Occupations",,3.0,,unemployed/zero income,513.0
77.0,male,white,high school,fair,very happy,married,,,,"Management, Business, Science, and Arts Occupations",22.0,7.0,middle class,unemployed/zero income,427.0
85.0,male,white,high school,fair,,married,,35.0,,"Management, Business, Science, and Arts Occupations",,1.0,,unemployed/zero income,519.0
39.0,male,white,high school,good,pretty happy,divorced,,,,Service Occupations,17.0,3.0,working class,unemployed/zero income,702.0
30.0,female,white,high school,good,,divorced,,19.0,,"Production, Transportation, and Material Moving Occupations",,3.0,,unemployed/zero income,519.0
36.0,female,white,bachelor's,good,,never married,,,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,,unemployed/zero income,617.0
50.0,male,white,bachelor's,,,never married,,,,Service Occupations,29.0,1.0,lower class,unemployed/zero income,404.0
22.0,male,white,high school,excellent,,divorced,,18.0,,"Production, Transportation, and Material Moving Occupations",,2.0,,unemployed/zero income,404.0
78.0,female,white,less than high school,,very happy,married,,,,Sales and Office Occupations,19.0,5.0,working class,unemployed/zero income,403.0
84.0,male,white,high school,good,not too happy,widowed,,,,"Natural Resources, Construction, and Maintenance Occupations",25.0,3.0,middle class,unemployed/zero income,519.0
78.0,male,white,high school,good,,married,,26.0,,"Management, Business, Science, and Arts Occupations",,4.0,,unemployed/zero income,411.0
25.0,female,white,high school,,very happy,married,,,,"Production, Transportation, and Material Moving Occupations",21.0,2.0,middle class,unemployed/zero income,407.0
50.0,male,white,bachelor's,excellent,pretty happy,never married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,working class,unemployed/zero income,427.0
20.0,female,white,high school,excellent,pretty happy,never married,,,,,,0.0,working class,unemployed/zero income,519.0
34.0,male,other,less than high school,,pretty happy,never married,,,,"Management, Business, Science, and Arts Occupations",,0.0,middle class,unemployed/zero income,503.0
46.0,male,white,high school,,pretty happy,never married,,,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,working class,unemployed/zero income,514.0
72.0,female,white,less than high school,,very happy,divorced,,,,Service Occupations,,0.0,working class,unemployed/zero income,408.0
,female,white,high school,fair,,married,,18.0,,"Production, Transportation, and Material Moving Occupations",,5.0,,unemployed/zero income,615.0
69.0,female,white,high school,fair,,married,,19.0,,"Production, Transportation, and Material Moving Occupations",,3.0,,unemployed/zero income,405.0
24.0,female,other,less than high school,,not too happy,never married,,,,"Production, Transportation, and Material Moving Occupations",18.0,2.0,working class,unemployed/zero income,405.0
38.0,female,black,associate/junior college,fair,pretty happy,not married,,,,"Production, Transportation, and Material Moving Occupations",20.0,2.0,middle class,unemployed/zero income,413.0
65.0,male,white,graduate,good,,divorced,,26.0,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,,unemployed/zero income,413.0
73.0,female,white,less than high school,good,very happy,widowed,,,,Sales and Office Occupations,16.0,6.0,working class,unemployed/zero income,324.0
54.0,male,white,graduate,excellent,,never married,,,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,,unemployed/zero income,328.0
50.0,male,black,high school,excellent,,married,,26.0,,"Management, Business, Science, and Arts Occupations",,5.0,,unemployed/zero income,504.0
42.0,female,white,high school,good,very happy,married,,,,"Natural Resources, Construction, and Maintenance Occupations",35.0,2.0,working class,unemployed/zero income,511.0
69.0,male,white,bachelor's,,very happy,divorced,,,,"Production, Transportation, and Material Moving Occupations",30.0,2.0,upper class,unemployed/zero income,411.0
26.0,female,other,less than high school,,pretty happy,never married,,,,,23.0,2.0,working class,unemployed/zero income,517.0
66.0,female,white,bachelor's,excellent,very happy,divorced,,,,"Production, Transportation, and Material Moving Occupations",,0.0,middle class,unemployed/zero income,408.0
31.0,female,white,bachelor's,good,pretty happy,married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,working class,unemployed/zero income,506.0
30.0,male,black,high school,good,pretty happy,never married,,,,"Management, Business, Science, and Arts Occupations",,0.0,working class,unemployed/zero income,419.0
58.0,female,white,high school,good,,divorced,,19.0,,"Production, Transportation, and Material Moving Occupations",,2.0,,unemployed/zero income,803.0
41.0,male,white,less than high school,,pretty happy,never married,,,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,working class,unemployed/zero income,610.0
43.0,male,white,high school,good,very happy,never married,,,,"Management, Business, Science, and Arts Occupations",,0.0,working class,unemployed/zero income,317.0
53.0,male,white,less than high school,excellent,,married,,18.0,,"Management, Business, Science, and Arts Occupations",,3.0,,unemployed/zero income,729.0
31.0,male,other,less than high school,fair,pretty happy,never married,,,,"Management, Business, Science, and Arts Occupations",,0.0,working class,unemployed/zero income,615.0
51.0,female,white,associate/junior college,excellent,pretty happy,married,,,,"Production, Transportation, and Material Moving Occupations",21.0,2.0,middle class,unemployed/zero income,406.0
51.0,female,white,high school,,pretty happy,married,,,,"Production, Transportation, and Material Moving Occupations",25.0,2.0,upper class,unemployed/zero income,515.0
28.0,male,black,less than high school,,pretty happy,married,,,,"Management, Business, Science, and Arts Occupations",22.0,2.0,working class,unemployed/zero income,316.0
55.0,male,white,bachelor's,,pretty happy,married,,,,"Production, Transportation, and Material Moving Occupations",26.0,2.0,middle class,unemployed/zero income,404.0
54.0,male,white,graduate,good,not too happy,divorced,,,,"Production, Transportation, and Material Moving Occupations",25.0,2.0,middle class,unemployed/zero income,711.0
23.0,male,other,high school,excellent,pretty happy,divorced,,,,"Management, Business, Science, and Arts Occupations",23.0,1.0,working class,unemployed/zero income,619.0
48.0,male,other,high school,fair,,never married,,,,,,0.0,,unemployed/zero income,317.0
67.0,female,white,bachelor's,,very happy,widowed,,,,"Production, Transportation, and Material Moving Occupations",19.0,3.0,working class,unemployed/zero income,316.0
43.0,male,white,high school,fair,not too happy,never married,,,,Service Occupations,,0.0,lower class,unemployed/zero income,311.0
64.0,female,white,associate/junior college,,pretty happy,never married,,,,Sales and Office Occupations,,0.0,middle class,unemployed/zero income,509.0
36.0,female,white,high school,good,not too happy,divorced,,,,"Production, Transportation, and Material Moving Occupations",20.0,3.0,working class,unemployed/zero income,621.0
27.0,female,other,less than high school,good,pretty happy,married,,,,Sales and Office Occupations,,0.0,working class,unemployed/zero income,409.0
63.0,female,black,high school,fair,,married,,20.0,,"Management, Business, Science, and Arts Occupations",,2.0,,unemployed/zero income,620.0
75.0,male,white,high school,good,very happy,married,,,,"Production, Transportation, and Material Moving Occupations",30.0,2.0,working class,unemployed/zero income,624.0
27.0,female,white,high school,good,pretty happy,married,,,,,20.0,2.0,middle class,unemployed/zero income,626.0
67.0,male,white,bachelor's,,pretty happy,married,,,,"Management, Business, Science, and Arts Occupations",23.0,4.0,working class,unemployed/zero income,419.0
24.0,male,white,high school,excellent,,never married,,,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,,unemployed/zero income,504.0
75.0,male,white,high school,poor,pretty happy,widowed,,,,"Production, Transportation, and Material Moving Occupations",26.0,8.0,working class,unemployed/zero income,613.0
31.0,male,white,bachelor's,excellent,pretty happy,married,,,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,middle class,unemployed/zero income,408.0
22.0,female,white,high school,,pretty happy,never married,,,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,working class,unemployed/zero income,619.0
64.0,female,white,less than high school,,not too happy,divorced,,,,"Management, Business, Science, and Arts Occupations",18.0,7.0,lower class,unemployed/zero income,408.0
48.0,female,white,high school,good,,divorced,,20.0,,"Natural Resources, Construction, and Maintenance Occupations",,3.0,,unemployed/zero income,625.0
28.0,female,black,high school,excellent,,married,,21.0,,"Production, Transportation, and Material Moving Occupations",,2.0,,unemployed/zero income,615.0
65.0,female,white,high school,excellent,very happy,married,,,,"Natural Resources, Construction, and Maintenance Occupations",21.0,4.0,middle class,unemployed/zero income,616.0
39.0,male,white,associate/junior college,,pretty happy,never married,,,,Sales and Office Occupations,,0.0,working class,unemployed/zero income,628.0
19.0,female,white,high school,,pretty happy,never married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,middle class,unemployed/zero income,506.0
47.0,male,white,bachelor's,excellent,,married,,26.0,,"Production, Transportation, and Material Moving Occupations",,3.0,,unemployed/zero income,620.0
27.0,female,white,high school,good,,never married,,,,Service Occupations,,1.0,,unemployed/zero income,614.0
